// 20k words/01
的	de5
是	shi4
在	zai4
一	yi1
不	bu4
有	you3
这	zhe4
个	ge4
上	shang4
也	ye3
他	ta1
人	ren2
就	jiu4
对	dui4
说	shuo1
我	wo3
要	yao4
到	dao4
大	da4
我们	wo3men5
多	duo1
把	ba3
来	lai2
等	deng3
年	nian2
两	liang3
从	cong2
而	er2
能	neng2
又	you4
他们	ta1men5
以	yi3
时	shi2
没有	mei2you3
会	hui4
之	zhi1
但	dan4
三	san1
被	bei4
很	hen3
下	xia4
自己	zi4ji3
后	hou4
中国	Zhong1guo2
并	bing4
使	shi3
向	xiang4
已	yi3
出	chu1
用	yong4
新	xin1
所	suo3
里	li3
给	gei3
她	ta1
更	geng4
次	ci4
最	zui4
述	shu4
可以	ke3yi3
可	ke3
去	qu4
由	you2
问题	wen4ti2
小	xiao3
工作	gong1zuo4
让	rang4
其	qi2
你	ni3
这个	zhe4ge5
生活	sheng1huo2
起	qi3
这样	zhe4yang4
天	tian1
它	ta1
高	gao1
做	zuo4
家	jia1
已经	yi3jing1
再	zai4
或	huo4
才	cai2
前	qian2
走	zou3
这些	zhe4xie1
一些	yi4xie1
却	que4
二	er4
条	tiao2
位	wei4
起来	qi3lai5
各	ge4
成	cheng2
什么	shen2me5
兀	wu4
现在	xian4zai4
社会	she4hui4
比	bi3
同	tong2
四	si4
关系	guan1xi5
名	ming2
想	xiang3
如	ru2
第一	di4-yi1
因为	yin1wei4
该	gai1
开始	kai1shi3
许多	xu3duo1
内	nei4
时间	shi2jian1
人们	ren2men5
今天	jin1tian1
国家	guo2jia1
本	ben3
点	dian3
思想	si1xiang3
至	zhi4
此	ci3
一定	yi2ding4
如果	ru2guo3
副	fu4
无	wu2
张	zhang1
同时	tong2shi2
需要	xu1yao4
月	yue4
则	ze2
重要	zhong4yao4
为了	wei4le5
日	ri4
老	lao3
就是	jiu4shi4
作	zuo4
五	wu3
人民	ren2min2
事	shi4
认为	ren4wei2
成为	cheng2wei2
像	xiang4
北京	Bei3jing1
历史	li4shi3
水	shui3
方面	fang1mian4
情况	qing2kuang4
而且	er2qie3
党	dang3
学生	xue2sheng5
每	mei3
这里	zhe4li5
但是	dan4shi4
孩子	hai2zi5
可能	ke3neng2
发生	fa1sheng1
必须	bi4xu1
只有	zhi3you3
外	wai4
要求	yao1qiu2
全	quan2
发现	fa1xian4
进行	jin4xing2
特别	te4bie2
因	yin1
岁	sui4
得到	de2dao4
件	jian4
文化	wen2hua4
分	fen1
便	bian4
同志	tong2zhi4
发展	fa1zhan3
即	ji2
日本	Ri4ben3
总	zong3
因此	yin1ci3
对于	dui4yu2
领导	ling3dao3
带	dai4
既	ji4
时候	shi2hou5
钱	qian2
自	zi4
政府	zheng4fu3
吃	chi1
非	fei1
决定	jue2ding4
进	jin4
还是	hai2shi5
受	shou4
国	guo2
应该	ying1gai1
近	jin4
美	mei3
政治	zheng4zhi4
话	hua4
公司	gong1si1
干部	gan4bu4
出现	chu1xian4
开	kai1
一切	yi2qie4
研究	yan2jiu1
认识	ren4shi5
写	xie3
十分	shi2fen1
十	shi2
站	zhan4
之间	zhi1jian1
问	wen4
希望	xi1wang4
快	kuai4
虽然	sui1ran2
相	xiang1
美国	Mei3guo2
知道	zhi1dao4
讲	jiang3
大家	da4jia1
学校	xue2xiao4
组织	zu3zhi1
见	jian4
由于	you2yu2
正在	zheng4zai4
法	fa3
表示	biao3shi4
一样	yi2yang4
活动	huo2dong4
如何	ru2he2
教育	jiao4yu4
书	shu1
据	ju4
城市	cheng2shi4
道	dao4
艺术	yi4shu4
经济	jing1ji4
以及	yi3ji2
部	bu4
影响	ying3xiang3
太	tai4
其中	qi2zhong1
学	xue2
先生	xian1sheng5
完全	wan2quan2
连	lian2
主要	zhu3yao4
继续	ji4xu4
头	tou2
革命	ge2ming4
之后	zhi1hou4
参加	can1jia1
能够	neng2gou4
住	zhu4
上海	Shang4hai3
经过	jing1guo4
非常	fei1chang2
低	di1
甚至	shen4zhi4
听	ting1
先	xian1
一直	yi4zhi2
学习	xue2xi2
仍	reng2
办	ban4
所以	suo3yi3
代表	dai4biao3
变	bian4
最后	zui4hou4
一起	yi4qi3
万	wan4
所有	suo3you3
那么	na4me5
心	xin1
越	yue4
较	jiao4
办法	ban4fa3
路	lu4
有些	you3xie1
未	wei4
通过	tong1guo4
找	zhao3
按	an4
拿	na2
解决	jie3jue2
一般	yi4ban1
另	ling4
经	jing1
半	ban4
强	qiang2
或者	huo4zhe3
时代	shi2dai4
手	shou3
作品	zuo4pin3
不断	bu2duan4
以后	yi3hou4
关于	guan1yu2
青年	qing1nian2
各种	ge4 zhong3
真	zhen1
其他	qi2ta1
农民	nong2min2
那些	na4xie1
余	yu2
段	duan4
有的	you3de5
买	mai3
根本	gen1ben3
县	xian4
作者	zuo4zhe3
者	zhe3
请	qing3
叫	jiao4
感到	gan3dao4
怎么	zen3me5
任何	ren4he2
六	liu4
表现	biao3xian4
反	fan3
存在	cun2zai4
然而	ran2er2
准备	zhun3bei4
送	song4
约	yue1
比较	bi3jiao4
书记	shu1ji5
爱	ai4
单位	dan1wei4
群众	qun2zhong4
应当	ying1dang1
王	wang2
早	zao3
女	nü3
门	men2
个人	ge4ren2
座	zuo4
全国	quan2guo2
意义	yi4yi4
花	hua1
条件	tiao2jian4
环境	huan2jing4
了解	liao3jie3
搞	gao3
力量	li4liang5
不仅	bu4jin3
目前	mu4qian2
经验	jing1yan4
产生	chan3sheng1
真正	zhen1zheng4
回	hui2
队	dui4
有关	you3guan1
字	zi4
会议	hui4yi4
生命	sheng1ming4
今年	jin1nian2
努力	nu3li4
靠	kao4
八	ba1
市	shi4
类	lei4
共	gong4
意见	yi4jian4
死	si3
民族	min2zu2
块	kuai4
只要	zhi3yao4
文学	wen2xue2
成功	cheng2gong1
变化	bian4hua4
句	ju4
管	guan3
你们	ni3men5
指	zhi3
地区	di4qu1
方	fang1
和	he2
项	xiang4
注意	zhu4yi4
当然	dang1ran2
达	da2
面	mian4
坐	zuo4
家庭	jia1ting2
原因	yuan2yin1
进入	jin4ru4
病	bing4
介绍	jie4shao4
下来	xia4lai2
事情	shi4qing5
方式	fang1shi4
首	shou3
计划	ji4hua4
人类	ren2lei4
报告	bao4gao4
世纪	shi4ji4
方法	fang1fa3
入	ru4
信	xin4
化	hua4
步	bu4
生	sheng1
声	sheng1
图	tu2
电话	dian4hua4
能力	neng2li4
片	pian4
作用	zuo4yong4
台	tai2
如此	ru2ci3
困难	kun4nan5
多少	duo1shao3
打	da3
为什么	wei4shen2me5
随着	sui2zhe5
谈	tan2
支	zhi1
村	cun1
米	mi3
农村	nong2cun1
具有	ju4you3
现代	xian4dai4
全部	quan2bu4
运动	yun4dong4
原	yuan2
内容	nei4rong2
帮助	bang1zhu4
文艺	wen2yi4
放	fang4
主任	zhu3ren4
别	bie2
事业	shi4ye4
汽车	qi4che1
李	li3
技术	ji4shu4
中央	zhong1yang1
口	kou3
跟	gen1
极	ji2
记者	ji4zhe3
只是	zhi3shi4
报	bao4
人员	ren2yuan2
以来	yi3lai2
边	bian1
觉得	jue2de5
您	nin2
双	shuang1
左右	zuo3you4
建设	jian4she4
利用	li4yong4
称	cheng1
怎样	zen3yang4
行为	xing2wei2
于是	yu2shi4
朋友	peng2you5
正是	zheng4shi4
受到	shou4dao4
人物	ren2wu4
深	shen1
接受	jie1shou4
来到	lai2dao4
百	bai3
这么	zhe4me5
山	shan1
电	dian4
发表	fa1biao3
些	xie1
原来	yuan2lai2
生产	sheng1chan3
往	wang3
大学	da4xue2
认真	ren4zhen1
过程	guo4cheng2
有人	you3ren2
风	feng1
创造	chuang4zao4
抓	zhua1
增加	zeng1jia1
不过	bu2guo4
以上	yi3shang4
七	qi1
它们	ta1men5
南	nan2
无法	wu2fa3
时期	shi2qi1
更加	geng4jia1
传统	chuan2tong3
支持	zhi1chi2
根据	gen1ju4
市场	shi4chang3
包括	bao1kuo4
直接	zhi2jie1
份	fen4
机会	ji1hui4
政策	zheng4ce4
科学	ke1xue2
几乎	ji1hu1
提高	ti2gao1
批	pi1
金	jin1
坚持	jian1chi2
可是	ke3shi4
实际	shi2ji4
完成	wan2cheng2
引起	yin3qi3
代	dai4
责任	ze2ren4
后来	hou4lai2
劳动	lao2dong4
任务	ren4wu5
知识	zhi1shi5
周	zhou1
部队	bu4dui4
底	di3
部分	bu4fen5
母亲	mu3qin1
首先	shou3xian1
期	qi1
保护	bao3hu4
理论	li3lun4
形式	xing2shi4
医院	yi1yuan4
不可	bu4ke3
云	yun2
行动	xing2dong4
仍然	reng2ran2
处理	chu3li3
远	yuan3
去年	qu4nian2
形成	xing2cheng2
跑	pao3
改变	gai3bian4
那样	na4yang4
香港	Xiang1gang3
相信	xiang1xin4
九	jiu3
中	zhong1
老师	lao3shi1
新闻	xin1wen2
红	hong2
仅	jin3
地位	di4wei4
除了	chu2le5
企业	qi3ye4
刚	gang1
加	jia1
终于	zhong1yu2
主席	zhu3xi2
严重	yan2zhong4
容易	rong2yi4
法律	fa3lü4
建立	jian4li4
还	hai2
其实	qi2shi2
服务	fu2wu4
意识	yi4shi5
自由	zi4you2
实现	shi2xian4
着	zhe5
那	na4
光	guang1
达到	da2dao4
然后	ran2hou4
战争	zhan4zheng1
态度	tai4du5
改革	gai3ge2
现实	xian4shi2
